fullname,permanentNumber,code,Constructors,points,wins
Romain Grosjean,8,GRO,Lotus F1,17,0
Felipe Nasr,12,NAS,Sauber,16,0
Sergio Pérez,11,PER,Force India,11,0
Nico Hülkenberg,27,HUL,Force India,10,0
Carlos Sainz,55,SAI,Toro Rosso,9,0
Max Verstappen,33,VER,Toro Rosso,6,0
Pastor Maldonado,13,MAL,Lotus F1,6,0
Marcus Ericsson,9,ERI,Sauber,5,0
Jenson Button,22,BUT,McLaren,4,0
Fernando Alonso,14,ALO,McLaren,0,0
Roberto Merhi,98,MER,Manor Marussia,0,0
Will Stevens,28,STE,Manor Marussia,0,0
Kevin Magnussen,20,MAG,McLaren,0,0
Lewis Hamilton,44,HAM,Mercedes,169,4
Nico Rosberg,6,ROS,Mercedes,159,3
Sebastian Vettel,5,VET,Ferrari,120,1
Kimi Räikkönen,7,RAI,Ferrari,72,0
Valtteri Bottas,77,BOT,Williams,67,0
Felipe Massa,19,MAS,Williams,62,0
Daniel Ricciardo,3,RIC,Red Bull,36,0
Daniil Kvyat,26,KVY,Red Bull,19,0
Nico Hülkenberg,27,HUL,Force India,18,0
Romain Grosjean,8,GRO,Lotus F1,17,0
Felipe Nasr,12,NAS,Sauber,16,0
Sergio Pérez,11,PER,Force India,13,0
Pastor Maldonado,13,MAL,Lotus F1,12,0
Max Verstappen,33,VER,Toro Rosso,10,0
Carlos Sainz,55,SAI,Toro Rosso,9,0
Marcus Ericsson,9,ERI,Sauber,5,0
Jenson Button,22,BUT,McLaren,4,0
Fernando Alonso,14,ALO,McLaren,0,0
Roberto Merhi,98,MER,Manor Marussia,0,0
Will Stevens,28,STE,Manor Marussia,0,0
Kevin Magnussen,20,MAG,McLaren,0,0
Lewis Hamilton,44,HAM,Mercedes,194,5
Nico Rosberg,6,ROS,Mercedes,177,3
Sebastian Vettel,5,VET,Ferrari,135,1
Valtteri Bottas,77,BOT,Williams,77,0
Kimi Räikkönen,7,RAI,Ferrari,76,0
Felipe Massa,19,MAS,Williams,74,0
Daniel Ricciardo,3,RIC,Red Bull,36,0
Daniil Kvyat,26,KVY,Red Bull,27,0
Nico Hülkenberg,27,HUL,Force India,24,0
Romain Grosjean,8,GRO,Lotus F1,17,0
Felipe Nasr,12,NAS,Sauber,16,0
Sergio Pérez,11,PER,Force India,15,0
Pastor Maldonado,13,MAL,Lotus F1,12,0
Max Verstappen,33,VER,Toro Rosso,10,0
Carlos Sainz,55,SAI,Toro Rosso,9,0
Marcus Ericsson,9,ERI,Sauber,5,0
Jenson Button,22,BUT,McLaren,4,0
Fernando Alonso,14,ALO,McLaren,1,0
Roberto Merhi,98,MER,Manor Marussia,0,0
Will Stevens,28,STE,Manor Marussia,0,0
Kevin Magnussen,20,MAG,McLaren,0,0
Lewis Hamilton,44,HAM,Mercedes,202,5
Nico Rosberg,6,ROS,Mercedes,181,3
Sebastian Vettel,5,VET,Ferrari,160,2
Valtteri Bottas,77,BOT,Williams,77,0
Kimi Räikkönen,7,RAI,Ferrari,76,0
Felipe Massa,19,MAS,Williams,74,0
Daniel Ricciardo,3,RIC,Red Bull,51,0
Daniil Kvyat,26,KVY,Red Bull,45,0
Nico Hülkenberg,27,HUL,Force India,24,0
Romain Grosjean,8,GRO,Lotus F1,23,0
Max Verstappen,33,VER,Toro Rosso,22,0
Felipe Nasr,12,NAS,Sauber,16,0
Sergio Pérez,11,PER,Force India,15,0
Pastor Maldonado,13,MAL,Lotus F1,12,0
Fernando Alonso,14,ALO,McLaren,11,0
Carlos Sainz,55,SAI,Toro Rosso,9,0
Jenson Button,22,BUT,McLaren,6,0
Marcus Ericsson,9,ERI,Sauber,6,0
Roberto Merhi,98,MER,Manor Marussia,0,0
Will Stevens,28,STE,Manor Marussia,0,0
Kevin Magnussen,20,MAG,McLaren,0,0
Lewis Hamilton,44,HAM,Mercedes,227,6
Nico Rosberg,6,ROS,Mercedes,199,3
Sebastian Vettel,5,VET,Ferrari,160,2
Kimi Räikkönen,7,RAI,Ferrari,82,0
Felipe Massa,19,MAS,Williams,82,0
Valtteri Bottas,77,BOT,Williams,79,0
Daniil Kvyat,26,KVY,Red Bull,57,0
Daniel Ricciardo,3,RIC,Red Bull,51,0
Romain Grosjean,8,GRO,Lotus F1,38,0
Max Verstappen,33,VER,Toro Rosso,26,0
Sergio Pérez,11,PER,Force India,25,0
Nico Hülkenberg,27,HUL,Force India,24,0
Felipe Nasr,12,NAS,Sauber,16,0
Pastor Maldonado,13,MAL,Lotus F1,12,0
Fernando Alonso,14,ALO,McLaren,11,0
Carlos Sainz,55,SAI,Toro Rosso,9,0
Marcus Ericsson,9,ERI,Sauber,7,0
Jenson Button,22,BUT,McLaren,6,0
Roberto Merhi,98,MER,Manor Marussia,0,0
Will Stevens,28,STE,Manor Marussia,0,0
Kevin Magnussen,20,MAG,McLaren,0,0
Lewis Hamilton,44,HAM,Mercedes,252,7
Nico Rosberg,6,ROS,Mercedes,199,3
Sebastian Vettel,5,VET,Ferrari,178,2
Felipe Massa,19,MAS,Williams,97,0
Kimi Räikkönen,7,RAI,Ferrari,92,0
Valtteri Bottas,77,BOT,Williams,91,0
Daniil Kvyat,26,KVY,Red Bull,58,0
Daniel Ricciardo,3,RIC,Red Bull,55,0
Romain Grosjean,8,GRO,Lotus F1,38,0
Sergio Pérez,11,PER,Force India,33,0
Nico Hülkenberg,27,HUL,Force India,30,0
Max Verstappen,33,VER,Toro Rosso,26,0
Felipe Nasr,12,NAS,Sauber,16,0
Pastor Maldonado,13,MAL,Lotus F1,12,0
Fernando Alonso,14,ALO,McLaren,11,0
Carlos Sainz,55,SAI,Toro Rosso,9,0
Marcus Ericsson,9,ERI,Sauber,9,0
Jenson Button,22,BUT,McLaren,6,0
Roberto Merhi,98,MER,Manor Marussia,0,0
Will Stevens,28,STE,Manor Marussia,0,0
Kevin Magnussen,20,MAG,McLaren,0,0
Lewis Hamilton,44,HAM,Mercedes,252,7
Nico Rosberg,6,ROS,Mercedes,211,3
Sebastian Vettel,5,VET,Ferrari,203,3
Kimi Räikkönen,7,RAI,Ferrari,107,0
Valtteri Bottas,77,BOT,Williams,101,0
Felipe Massa,19,MAS,Williams,97,0
Daniel Ricciardo,3,RIC,Red Bull,73,0
Daniil Kvyat,26,KVY,Red Bull,66,0
Sergio Pérez,11,PER,Force India,39,0
Romain Grosjean,8,GRO,Lotus F1,38,0
Max Verstappen,33,VER,Toro Rosso,30,0
Nico Hülkenberg,27,HUL,Force India,30,0
Felipe Nasr,12,NAS,Sauber,17,0
Pastor Maldonado,13,MAL,Lotus F1,12,0
Fernando Alonso,14,ALO,McLaren,11,0
Carlos Sainz,55,SAI,Toro Rosso,11,0
Marcus Ericsson,9,ERI,Sauber,9,0
Jenson Button,22,BUT,McLaren,6,0
Roberto Merhi,98,MER,Manor Marussia,0,0
Will Stevens,28,STE,Manor Marussia,0,0
Alexander Rossi,53,RSS,Manor Marussia,0,0
Kevin Magnussen,20,MAG,McLaren,0,0
Lewis Hamilton,44,HAM,Mercedes,277,8
Nico Rosberg,6,ROS,Mercedes,229,3
Sebastian Vettel,5,VET,Ferrari,218,3
Kimi Räikkönen,7,RAI,Ferrari,119,0
Valtteri Bottas,77,BOT,Williams,111,0
Felipe Massa,19,MAS,Williams,97,0
Daniel Ricciardo,3,RIC,Red Bull,73,0
Daniil Kvyat,26,KVY,Red Bull,66,0
Romain Grosjean,8,GRO,Lotus F1,44,0
Sergio Pérez,11,PER,Force India,39,0
Nico Hülkenberg,27,HUL,Force India,38,0
Max Verstappen,33,VER,Toro Rosso,32,0
Felipe Nasr,12,NAS,Sauber,17,0
Pastor Maldonado,13,MAL,Lotus F1,16,0
Carlos Sainz,55,SAI,Toro Rosso,12,0
Fernando Alonso,14,ALO,McLaren,11,0
Marcus Ericsson,9,ERI,Sauber,9,0
Jenson Button,22,BUT,McLaren,6,0
Roberto Merhi,98,MER,Manor Marussia,0,0
Will Stevens,28,STE,Manor Marussia,0,0
Alexander Rossi,53,RSS,Manor Marussia,0,0
Kevin Magnussen,20,MAG,McLaren,0,0
Lewis Hamilton,44,HAM,Mercedes,302,9
Sebastian Vettel,5,VET,Ferrari,236,3
Nico Rosberg,6,ROS,Mercedes,229,3
Kimi Räikkönen,7,RAI,Ferrari,123,0
Valtteri Bottas,77,BOT,Williams,111,0
Felipe Massa,19,MAS,Williams,109,0
Daniil Kvyat,26,KVY,Red Bull,76,0
Daniel Ricciardo,3,RIC,Red Bull,73,0
Sergio Pérez,11,PER,Force India,54,0
Romain Grosjean,8,GRO,Lotus F1,44,0
Nico Hülkenberg,27,HUL,Force India,38,0
Max Verstappen,33,VER,Toro Rosso,33,0
Felipe Nasr,12,NAS,Sauber,25,0
Pastor Maldonado,13,MAL,Lotus F1,22,0
Carlos Sainz,55,SAI,Toro Rosso,12,0
Fernando Alonso,14,ALO,McLaren,11,0
Marcus Ericsson,9,ERI,Sauber,9,0
Jenson Button,22,BUT,McLaren,8,0
Roberto Merhi,98,MER,Manor Marussia,0,0
Will Stevens,28,STE,Manor Marussia,0,0
Alexander Rossi,53,RSS,Manor Marussia,0,0
Kevin Magnussen,20,MAG,McLaren,0,0
Lewis Hamilton,44,HAM,Mercedes,327,10
Sebastian Vettel,5,VET,Ferrari,251,3
Nico Rosberg,6,ROS,Mercedes,247,3
Kimi Räikkönen,7,RAI,Ferrari,123,0
Valtteri Bottas,77,BOT,Williams,111,0
Felipe Massa,19,MAS,Williams,109,0
Daniil Kvyat,26,KVY,Red Bull,76,0
Daniel Ricciardo,3,RIC,Red Bull,74,0
Sergio Pérez,11,PER,Force India,64,0
Max Verstappen,33,VER,Toro Rosso,45,0
Romain Grosjean,8,GRO,Lotus F1,44,0
Nico Hülkenberg,27,HUL,Force India,38,0
Felipe Nasr,12,NAS,Sauber,27,0
Pastor Maldonado,13,MAL,Lotus F1,26,0
Carlos Sainz,55,SAI,Toro Rosso,18,0
Jenson Button,22,BUT,McLaren,16,0
Fernando Alonso,14,ALO,McLaren,11,0
Marcus Ericsson,9,ERI,Sauber,9,0
Roberto Merhi,98,MER,Manor Marussia,0,0
Alexander Rossi,53,RSS,Manor Marussia,0,0
Will Stevens,28,STE,Manor Marussia,0,0
Kevin Magnussen,20,MAG,McLaren,0,0
Lewis Hamilton,44,HAM,Mercedes,345,10
Nico Rosberg,6,ROS,Mercedes,272,4
Sebastian Vettel,5,VET,Ferrari,251,3
Valtteri Bottas,77,BOT,Williams,126,0
Kimi Räikkönen,7,RAI,Ferrari,123,0
Felipe Massa,19,MAS,Williams,117,0
Daniil Kvyat,26,KVY,Red Bull,88,0
Daniel Ricciardo,3,RIC,Red Bull,84,0
Sergio Pérez,11,PER,Force India,68,0
Max Verstappen,33,VER,Toro Rosso,47,0
Romain Grosjean,8,GRO,Lotus F1,45,0
Nico Hülkenberg,27,HUL,Force India,44,0
Felipe Nasr,12,NAS,Sauber,27,0
Pastor Maldonado,13,MAL,Lotus F1,26,0
Carlos Sainz,55,SAI,Toro Rosso,18,0
Jenson Button,22,BUT,McLaren,16,0
Fernando Alonso,14,ALO,McLaren,11,0
Marcus Ericsson,9,ERI,Sauber,9,0
Roberto Merhi,98,MER,Manor Marussia,0,0
Alexander Rossi,53,RSS,Manor Marussia,0,0
Will Stevens,28,STE,Manor Marussia,0,0
Kevin Magnussen,20,MAG,McLaren,0,0
Lewis Hamilton,44,HAM,Mercedes,363,10
Nico Rosberg,6,ROS,Mercedes,297,5
Sebastian Vettel,5,VET,Ferrari,266,3
Valtteri Bottas,77,BOT,Williams,136,0
Kimi Räikkönen,7,RAI,Ferrari,135,0
Felipe Massa,19,MAS,Williams,117,0
Daniil Kvyat,26,KVY,Red Bull,94,0
Daniel Ricciardo,3,RIC,Red Bull,84,0
Sergio Pérez,11,PER,Force India,68,0
Nico Hülkenberg,27,HUL,Force India,52,0
Romain Grosjean,8,GRO,Lotus F1,49,0
Max Verstappen,33,VER,Toro Rosso,49,0
Felipe Nasr,12,NAS,Sauber,27,0
Pastor Maldonado,13,MAL,Lotus F1,27,0
Carlos Sainz,55,SAI,Toro Rosso,18,0
Jenson Button,22,BUT,McLaren,16,0
Fernando Alonso,14,ALO,McLaren,11,0
Marcus Ericsson,9,ERI,Sauber,9,0
Roberto Merhi,98,MER,Manor Marussia,0,0
Alexander Rossi,53,RSS,Manor Marussia,0,0
Will Stevens,28,STE,Manor Marussia,0,0
Kevin Magnussen,20,MAG,McLaren,0,0
Lewis Hamilton,44,HAM,Mercedes,381,10
Nico Rosberg,6,ROS,Mercedes,322,6
Sebastian Vettel,5,VET,Ferrari,278,3
Kimi Räikkönen,7,RAI,Ferrari,150,0
Valtteri Bottas,77,BOT,Williams,136,0
Felipe Massa,19,MAS,Williams,121,0
Daniil Kvyat,26,KVY,Red Bull,95,0
Daniel Ricciardo,3,RIC,Red Bull,92,0
Sergio Pérez,11,PER,Force India,78,0
Nico Hülkenberg,27,HUL,Force India,58,0
Romain Grosjean,8,GRO,Lotus F1,51,0
Max Verstappen,33,VER,Toro Rosso,49,0
Felipe Nasr,12,NAS,Sauber,27,0
Pastor Maldonado,13,MAL,Lotus F1,27,0
Carlos Sainz,55,SAI,Toro Rosso,18,0
Jenson Button,22,BUT,McLaren,16,0
Fernando Alonso,14,ALO,McLaren,11,0
Marcus Ericsson,9,ERI,Sauber,9,0
Roberto Merhi,98,MER,Manor Marussia,0,0
Alexander Rossi,53,RSS,Manor Marussia,0,0
Will Stevens,28,STE,Manor Marussia,0,0
Kevin Magnussen,20,MAG,McLaren,0,0
Nico Rosberg,6,ROS,Mercedes,25,1
Lewis Hamilton,44,HAM,Mercedes,18,0
Sebastian Vettel,5,VET,Ferrari,15,0
Daniel Ricciardo,3,RIC,Red Bull,12,0
Felipe Massa,19,MAS,Williams,10,0
Romain Grosjean,8,GRO,Haas F1 Team,8,0
Nico Hülkenberg,27,HUL,Force India,6,0
Valtteri Bottas,77,BOT,Williams,4,0
Carlos Sainz,55,SAI,Toro Rosso,2,0
Max Verstappen,33,VER,Toro Rosso,1,0
Jolyon Palmer,30,PAL,Renault,0,0
Kevin Magnussen,20,MAG,Renault,0,0
Sergio Pérez,11,PER,Force India,0,0
Jenson Button,22,BUT,McLaren,0,0
Felipe Nasr,12,NAS,Sauber,0,0
Pascal Wehrlein,94,WEH,Manor Marussia,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Kimi Räikkönen,7,RAI,Ferrari,0,0
Rio Haryanto,88,HAR,Manor Marussia,0,0
Esteban Gutiérrez,21,GUT,Haas F1 Team,0,0
Fernando Alonso,14,ALO,McLaren,0,0
Daniil Kvyat,26,KVY,Red Bull,0,0
Nico Rosberg,6,ROS,Mercedes,50,2
Lewis Hamilton,44,HAM,Mercedes,33,0
Daniel Ricciardo,3,RIC,Red Bull,24,0
Kimi Räikkönen,7,RAI,Ferrari,18,0
Romain Grosjean,8,GRO,Haas F1 Team,18,0
Sebastian Vettel,5,VET,Ferrari,15,0
Felipe Massa,19,MAS,Williams,14,0
Max Verstappen,33,VER,Toro Rosso,9,0
Nico Hülkenberg,27,HUL,Force India,6,0
Daniil Kvyat,26,KVY,Red Bull,6,0
Valtteri Bottas,77,BOT,Williams,6,0
Carlos Sainz,55,SAI,Toro Rosso,2,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Kevin Magnussen,20,MAG,Renault,0,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Sergio Pérez,11,PER,Force India,0,0
Pascal Wehrlein,94,WEH,Manor Marussia,0,0
Felipe Nasr,12,NAS,Sauber,0,0
Jenson Button,22,BUT,McLaren,0,0
Rio Haryanto,88,HAR,Manor Marussia,0,0
Esteban Gutiérrez,21,GUT,Haas F1 Team,0,0
Fernando Alonso,14,ALO,McLaren,0,0
Nico Rosberg,6,ROS,Mercedes,75,3
Lewis Hamilton,44,HAM,Mercedes,39,0
Daniel Ricciardo,3,RIC,Red Bull,36,0
Sebastian Vettel,5,VET,Ferrari,33,0
Kimi Räikkönen,7,RAI,Ferrari,28,0
Felipe Massa,19,MAS,Williams,22,0
Daniil Kvyat,26,KVY,Red Bull,21,0
Romain Grosjean,8,GRO,Haas F1 Team,18,0
Max Verstappen,33,VER,Toro Rosso,13,0
